skill_id,name_zh,desc_zh,reserved_3,item_name_key,skill_desc_key,reserved_6,param_07,param_08,param_09,param_10,param_11,param_12,param_13,param_14,param_15,param_16,param_17,param_18,param_19,param_20,nested_21,nested_22,nested_23,param_24,param_25,param_26
100,全库透视,显示所有藏品的轮廓,,itemName_100100,skillDesc_100,,2,0,[0],0,[0],0,[0],1,0,[1000],5,[],1,0,[[0]],[[0]],"[[1,1000,0]]",0,0,0
103,四象窥视,随机显示4件藏品轮廓,,itemName_100101,skillDesc_103,,2,0,[0],0,[0],0,[0],1,4,[1000],2,[],1,0,[[0]],[[0]],"[[1,1000,0]]",0,0,0
106,十方窥视,随机显示10件藏品轮廓,,itemName_100102,skillDesc_106,,2,0,[0],0,[0],0,[0],1,10,[1000],3,[],1,0,[[0]],[[0]],"[[1,1000,0]]",0,0,0
200,总仓储空间,所有藏品的总格数为{0}格,,itemName_100103,,skillDesc_200,2,0,[0],0,[0],0,[0],1,0,[2000],5,[],1,0,[[0]],[[0]],"[[1,1000,0]]",0,0,0
201,普品扫描,所有白色和绿色品质藏品总占位数为{0}格,,itemName_100104,,skillDesc_201,2,2,"[1,2]",0,[0],0,[0],1,0,[2000],1,[],1,0,[[0]],[[0]],"[[1,1000,0]]",0,0,0
202,良品扫描,所有蓝色品质藏品总占位数为{0}格,,itemName_100105,,skillDesc_202,2,2,[3],0,[0],0,[0],1,0,[2000],2,[],1,0,[[0]],[[0]],"[[1,1000,0]]",0,0,0
203,优品扫描,所有紫色品质藏品总占位数为{0}格,,itemName_100106,,skillDesc_203,2,2,[4],0,[0],0,[0],1,0,[2000],3,[],1,0,[[0]],[[0]],"[[1,1000,0]]",0,0,0
204,极品扫描,所有金色品质藏品总占位数为{0}格,,itemName_100107,,skillDesc_204,2,2,[5],0,[0],0,[0],1,0,[2000],4,[],1,0,[[0]],[[0]],"[[1,1000,0]]",0,0,0
205,珍品扫描,所有红色品质藏品总占位数为{0}格,,itemName_100108,,skillDesc_205,2,2,[6],0,[0],0,[0],1,0,[2000],5,[],1,0,[[0]],[[0]],"[[1,1000,0]]",0,0,0
300,均格评估,所有藏品的平均格数为{0}格,,itemName_100109,,skillDesc_300,2,0,[0],0,[0],0,[0],1,0,[3000],3,[],1,0,[[0]],[[0]],"[[1,1000,0]]",0,0,0
301,普品均格,所有白色和绿色品质藏品平均占位{0}格,,itemName_100110,,skillDesc_301,2,2,"[1,2]",0,[0],0,[0],1,0,[3000],1,[],1,0,[[0]],[[0]],"[[1,1000,0]]",0,0,0
302,良品均格,所有蓝色品质藏品平均占位{0}格,,itemName_100111,,skillDesc_302,2,2,[3],0,[0],0,[0],1,0,[3000],2,[],1,0,[[0]],[[0]],"[[1,1000,0]]",0,0,0
303,优品均格,所有紫色品质藏品平均占位{0}格,,itemName_100112,,skillDesc_303,2,2,[4],0,[0],0,[0],1,0,[3000],2,[],1,0,[[0]],[[0]],"[[1,1000,0]]",0,0,0
304,极品均格,所有金色品质藏品平均占位{0}格,,itemName_100113,,skillDesc_304,2,2,[5],0,[0],0,[0],1,0,[3000],3,[],1,0,[[0]],[[0]],"[[1,1000,0]]",0,0,0
305,珍品均格,所有红色品质藏品平均占位{0}格,,itemName_100114,,skillDesc_305,2,2,[6],0,[0],0,[0],1,0,[3000],5,[],1,0,[[0]],[[0]],"[[1,1000,0]]",0,0,0
400,库存清点,本次竞拍共有{0}件藏品,,itemName_100115,,skillDesc_400,2,0,[0],0,[0],0,[0],1,0,[4000],4,[],1,0,[[0]],[[0]],"[[1,1000,0]]",0,0,0
401,普品存量,绿色品质藏品的总数量为{0},,itemName_100116,,skillDesc_401,2,2,[2],0,[0],0,[0],1,0,[4000],1,[],1,0,[[0]],[[0]],"[[1,1000,0]]",0,0,0
402,良品存量,蓝色品质藏品的总数量为{0},,itemName_100117,,skillDesc_402,2,2,[3],0,[0],0,[0],1,0,[4000],2,[],1,0,[[0]],[[0]],"[[1,1000,0]]",0,0,0
403,优品存量,紫色品质藏品的总数量为{0},,itemName_100118,,skillDesc_403,2,2,[4],0,[0],0,[0],1,0,[4000],3,[],1,0,[[0]],[[0]],"[[1,1000,0]]",0,0,0
404,极品存量,金色品质藏品的总数量为{0},,itemName_100119,,skillDesc_404,2,2,[5],0,[0],0,[0],1,0,[4000],4,[],1,0,[[0]],[[0]],"[[1,1000,0]]",0,0,0
405,珍品存量,红色品质藏品的总数量为{0},,itemName_100120,,skillDesc_405,2,2,[6],0,[0],0,[0],1,0,[4000],5,[],1,0,[[0]],[[0]],"[[1,1000,0]]",0,0,0
500,终极审计,本次竞拍所有藏品的总价值为{0},,itemName_100121,,skillDesc_500,2,0,[0],0,[0],0,[0],1,0,[10000],6,[],1,0,[[0]],[[0]],"[[1,1000,0]]",0,0,0
501,普品估价,所有绿色品质藏品的总价值为{0},,itemName_100122,,skillDesc_501,2,2,[2],0,[0],0,[0],1,0,[10000],1,[],1,0,[[0]],[[0]],"[[1,1000,0]]",0,0,0
502,良品估价,所有蓝色品质藏品的总价值为{0},,itemName_100123,,skillDesc_502,2,2,[3],0,[0],0,[0],1,0,[10000],2,[],1,0,[[0]],[[0]],"[[1,1000,0]]",0,0,0
503,优品估价,所有紫色品质藏品的总价值为{0},,itemName_100124,,skillDesc_503,2,2,[4],0,[0],0,[0],1,0,[10000],3,[],1,0,[[0]],[[0]],"[[1,1000,0]]",0,0,0
504,极品估价,所有金色品质藏品的总价值为{0},,itemName_100125,,skillDesc_504,2,2,[5],0,[0],0,[0],1,0,[10000],4,[],1,0,[[0]],[[0]],"[[1,1000,0]]",0,0,0
505,珍品估价,所有红色品质藏品的总价值为{0},,itemName_100126,,skillDesc_505,2,2,[6],0,[0],0,[0],1,0,[10000],6,[],1,0,[[0]],[[0]],"[[1,1000,0]]",0,0,0
600,全知全能,显示所有藏品,,itemName_100127,skillDesc_600,,2,0,[0],0,[0],0,[0],1,0,[6000],6,"[800,900]",1,0,[[0]],[[0]],"[[1,1000,0]]",0,0,0
601,随机抽检（1）,随机显示1件藏品,,itemName_100128,skillDesc_601,,2,0,[0],0,[0],0,[0],1,1,[6000],1,"[1500,1600]",1,0,[[0]],[[0]],"[[1,1000,0]]",0,0,0
602,随机抽检（2）,随机显示2件藏品,,itemName_100129,skillDesc_602,,2,0,[0],0,[0],0,[0],1,2,[6000],2,"[1400,1500]",1,0,[[0]],[[0]],"[[1,1000,0]]",0,0,0
603,随机抽检（4）,随机显示4件藏品,,itemName_100130,skillDesc_603,,2,0,[0],0,[0],0,[0],1,4,[6000],3,"[1300,1400]",1,0,[[0]],[[0]],"[[1,1000,0]]",0,0,0
604,随机抽检（6）,随机显示6件藏品,,itemName_100131,skillDesc_604,,2,0,[0],0,[0],0,[0],1,6,[6000],4,"[1200,1300]",1,0,[[0]],[[0]],"[[1,1000,0]]",0,0,0
605,随机抽检（8）,随机显示8件藏品,,itemName_100132,skillDesc_605,,2,0,[0],0,[0],0,[0],1,8,[6000],5,"[1100,1200]",1,0,[[0]],[[0]],"[[1,1000,0]]",0,0,0
606,随机抽检（10）,随机显示12件藏品,,itemName_100133,skillDesc_606,,2,0,[0],0,[0],0,[0],1,10,[6000],6,"[1000,1100]",1,0,[[0]],[[0]],"[[1,1000,0]]",0,0,0
700,明镜之眼,显示所有藏品的品质,,itemName_100134,skillDesc_700,,2,0,[0],0,[0],0,[0],1,0,[7000],6,[],1,0,[[0]],[[0]],"[[1,1000,0]]",0,0,0
701,宝光双鉴,随机显示2件藏品的品质,,itemName_100135,skillDesc_701,,2,0,[0],0,[0],0,[0],1,2,[7000],1,[],1,0,[[0]],[[0]],"[[1,1000,0]]",0,0,0
702,宝光四鉴,随机显示4件藏品的品质,,itemName_100136,skillDesc_702,,2,0,[0],0,[0],0,[0],1,4,[7000],2,[],1,0,[[0]],[[0]],"[[1,1000,0]]",0,0,0
703,宝光六鉴,随机显示6件藏品的品质,,itemName_100137,skillDesc_703,,2,0,[0],0,[0],0,[0],1,6,[7000],3,[],1,0,[[0]],[[0]],"[[1,1000,0]]",0,0,0
704,宝光八鉴,随机显示8件藏品的品质,,itemName_100138,skillDesc_704,,2,0,[0],0,[0],0,[0],1,8,[7000],4,[],1,0,[[0]],[[0]],"[[1,1000,0]]",0,0,0
705,宝光十鉴,随机显示10件藏品的品质,,itemName_100139,skillDesc_705,,2,0,[0],0,[0],0,[0],1,10,[7000],5,[],1,0,[[0]],[[0]],"[[1,1000,0]]",0,0,0
706,华丽宝光,随机显示15件藏品的品质,,itemName_100140,skillDesc_706,,2,0,[0],0,[0],0,[0],1,15,[7000],6,[],1,0,[[0]],[[0]],"[[1,1000,0]]",0,0,0
801,【能源交通】检定,显示能源交通的藏品的轮廓和品质,,itemName_100174,skillDesc_801,,2,1,[108],0,[0],0,[0],1,0,"[1000,7000]",3,[],1,0,[[0]],[[0]],"[[1,1000,0]]",0,0,0
