skill_id,name_zh,param_07,param_07_note,item_cid,param_09,param_16,bindings_skill_cid,bindings_skill_cid_dedupe,bindings_item_cid,bindings_item_cid_dedupe,skill_log_price_keys,random_avg_role,outline_hitbox_role,hero_scan_quality,map_force_quality
100,全库透视,2,道具技能,100100,[0],[1000],,,,,,,轮廓 HitBoxList → q5_count / q5_grid_count / q5_grid_avg （skill_event_stats_from_logs.apply_outline_hitbox_to_event_stats）,,
103,四象窥视,2,道具技能,100101,[0],[1000],,,,,,,轮廓 HitBoxList → q2_count / q2_grid_count / q2_grid_avg （skill_event_stats_from_logs.apply_outline_hitbox_to_event_stats）,,
106,十方窥视,2,道具技能,100102,[0],[1000],,,,,,,轮廓 HitBoxList → q3_count / q3_grid_count / q3_grid_avg （skill_event_stats_from_logs.apply_outline_hitbox_to_event_stats）,,
200,总仓储空间,2,道具技能,100103,[0],[2000],total_grid_count<=TotalHitBoxIndex(int),total_grid_count<=TotalHitBoxIndex[旁路],total_grid_count<=TotalHitBoxIndex(int),total_grid_count<=TotalHitBoxIndex[主线],,,,,
201,普品扫描,2,道具技能,100104,"[1,2]",[2000],q12_grid_count<=TotalHitBoxIndex(int),q12_grid_count<=TotalHitBoxIndex[主线],q12_grid_count<=TotalHitBoxIndex(int),q12_grid_count<=TotalHitBoxIndex[主线],,,,,
202,良品扫描,2,道具技能,100105,[3],[2000],q3_grid_count<=TotalHitBoxIndex(int),q3_grid_count<=TotalHitBoxIndex[主线],q3_grid_count<=TotalHitBoxIndex(int),q3_grid_count<=TotalHitBoxIndex[主线],,,,,
203,优品扫描,2,道具技能,100106,[4],[2000],q4_grid_count<=TotalHitBoxIndex(int),q4_grid_count<=TotalHitBoxIndex[旁路],q4_grid_count<=TotalHitBoxIndex(int),q4_grid_count<=TotalHitBoxIndex[主线],,,,,
204,极品扫描,2,道具技能,100107,[5],[2000],q5_grid_count<=TotalHitBoxIndex(int),q5_grid_count<=TotalHitBoxIndex[旁路],q5_grid_count<=TotalHitBoxIndex(int),q5_grid_count<=TotalHitBoxIndex[主线],,,,,
205,珍品扫描,2,道具技能,100108,[6],[2000],q6_grid_count<=TotalHitBoxIndex(int),q6_grid_count<=TotalHitBoxIndex[旁路],q6_grid_count<=TotalHitBoxIndex(int),q6_grid_count<=TotalHitBoxIndex[主线],,,,,
300,均格评估,2,道具技能,100109,[0],[3000],total_grid_avg<=AllHitItemAvgBoxIndex(float),total_grid_avg<=AllHitItemAvgBoxIndex[旁路],,,,,,,
301,普品均格,2,道具技能,100110,"[1,2]",[3000],q12_grid_avg<=AllHitItemAvgBoxIndex(float),q12_grid_avg<=AllHitItemAvgBoxIndex[主线],,,,,,,
302,良品均格,2,道具技能,100111,[3],[3000],q3_grid_avg<=AllHitItemAvgBoxIndex(float),q3_grid_avg<=AllHitItemAvgBoxIndex[旁路],,,,,,,
303,优品均格,2,道具技能,100112,[4],[3000],q4_grid_avg<=AllHitItemAvgBoxIndex(float),q4_grid_avg<=AllHitItemAvgBoxIndex[旁路],,,,,,,
304,极品均格,2,道具技能,100113,[5],[3000],q5_grid_avg<=AllHitItemAvgBoxIndex(float),q5_grid_avg<=AllHitItemAvgBoxIndex[旁路],,,,,,,
305,珍品均格,2,道具技能,100114,[6],[3000],q6_grid_avg<=AllHitItemAvgBoxIndex(float),q6_grid_avg<=AllHitItemAvgBoxIndex[旁路],,,,,,,
400,库存清点,2,道具技能,100115,[0],[4000],total_count<=HitItemIndex(int),total_count<=HitItemIndex[旁路],total_count<=HitItemIndex(int),total_count<=HitItemIndex[主线],,,,,
401,普品存量,2,道具技能,100116,[2],[4000],q2_count<=HitItemIndex(int),q2_count<=HitItemIndex[主线],q2_count<=HitItemIndex(int),q2_count<=HitItemIndex[主线],,,,,
402,良品存量,2,道具技能,100117,[3],[4000],q3_count<=HitItemIndex(int),q3_count<=HitItemIndex[主线],q3_count<=HitItemIndex(int),q3_count<=HitItemIndex[主线],,,,,
403,优品存量,2,道具技能,100118,[4],[4000],q4_count<=HitItemIndex(int),q4_count<=HitItemIndex[旁路],q4_count<=HitItemIndex(int),q4_count<=HitItemIndex[主线],,,,,
404,极品存量,2,道具技能,100119,[5],[4000],q5_count<=HitItemIndex(int),q5_count<=HitItemIndex[旁路],q5_count<=HitItemIndex(int),q5_count<=HitItemIndex[主线],,,,,
405,珍品存量,2,道具技能,100120,[6],[4000],q6_count<=HitItemIndex(int),q6_count<=HitItemIndex[旁路],q6_count<=HitItemIndex(int),q6_count<=HitItemIndex[主线],,,,,
500,终极审计,2,道具技能,100121,[0],[10000],,,,,,,,,
501,普品估价,2,道具技能,100122,[2],[10000],,,q12_price_total<=HitItemTotalPrice(int),q12_price_total<=HitItemTotalPrice[主线],,,,,
502,良品估价,2,道具技能,100123,[3],[10000],,,q3_price_total<=HitItemTotalPrice(int),q3_price_total<=HitItemTotalPrice[主线],,,,,
503,优品估价,2,道具技能,100124,[4],[10000],,,q4_price_total<=HitItemTotalPrice(int),q4_price_total<=HitItemTotalPrice[主线],q4_price_total<=HitItemTotalPrice,,,,
504,极品估价,2,道具技能,100125,[5],[10000],,,q5_price_total<=HitItemTotalPrice(int),q5_price_total<=HitItemTotalPrice[主线],q5_price_total<=HitItemTotalPrice,,,,
505,珍品估价,2,道具技能,100126,[6],[10000],,,q6_price_total<=HitItemTotalPrice(int),q6_price_total<=HitItemTotalPrice[主线],q6_price_total<=HitItemTotalPrice,,,,
600,全知全能,2,道具技能,100127,[0],[6000],,,,,,,,,
601,随机抽检（1）,2,道具技能,100128,[0],[6000],,,,,,,,,
602,随机抽检（2）,2,道具技能,100129,[0],[6000],,,,,,,,,
603,随机抽检（4）,2,道具技能,100130,[0],[6000],,,,,,,,,
604,随机抽检（6）,2,道具技能,100131,[0],[6000],,,,,,,,,
605,随机抽检（8）,2,道具技能,100132,[0],[6000],,,,,,,,,
606,随机抽检（10）,2,道具技能,100133,[0],[6000],,,,,,,,,
700,明镜之眼,2,道具技能,100134,[0],[7000],,,,,,,,,
701,宝光双鉴,2,道具技能,100135,[0],[7000],,,,,,,,,
702,宝光四鉴,2,道具技能,100136,[0],[7000],,,,,,,,,
703,宝光六鉴,2,道具技能,100137,[0],[7000],,,,,,,,,
704,宝光八鉴,2,道具技能,100138,[0],[7000],,,,,,,,,
705,宝光十鉴,2,道具技能,100139,[0],[7000],,,,,,,,,
706,华丽宝光,2,道具技能,100140,[0],[7000],,,,,,,,,
801,【能源交通】检定,2,道具技能,100174,[108],"[1000,7000]",,,,,,,,,
2001,【家具物品】鉴影,2,道具技能,100151,[101],[1000],,,,,,,,,
2002,【医疗药品】鉴影,2,道具技能,100152,[102],[1000],,,,,,,,,
2003,【时尚潮流】鉴影,2,道具技能,100153,[103],[1000],,,,,,,,,
2004,【兵装军火】鉴影,2,道具技能,100154,[104],[1000],,,,,,,,,
2005,【珠宝矿藏】鉴影,2,道具技能,100155,[105],[1000],,,,,,,,,
2006,【文物古董】鉴影,2,道具技能,100156,[106],[1000],,,,,,,,,
2007,【数码娱乐】鉴影,2,道具技能,100157,[107],[1000],,,,,,,,,
2008,【能源交通】鉴影,2,道具技能,100158,[108],[1000],,,,,,,,,
2009,【食饮珍馐】鉴影,2,道具技能,100159,[109],[1000],,,,,,,,,
2010,【书画古籍】鉴影,2,道具技能,100160,[110],[1000],,,,,,,,,
10000,至宝寻踪,2,道具技能,100161,"[0,0,1,1]",[1000],,,,,,,轮廓 HitBoxList → q4_count / q4_grid_count / q4_grid_avg （skill_event_stats_from_logs.apply_outline_hitbox_to_event_stats）,,
10001,至宝体量,2,道具技能,100162,"[0,0,1,1]",[11000],,,,,,,,,
10002,至宝估价,2,道具技能,100163,"[0,0,1,1]",[5000],,,,,,,,,
10003,至宝抽样,2,道具技能,100164,"[0,0,1,1]",[6000],,,,,,,,,
10010,巨物标识,2,道具技能,100165,"[0,0,2,1]",[1000],,,,,,,轮廓 HitBoxList → q2_count / q2_grid_count / q2_grid_avg （skill_event_stats_from_logs.apply_outline_hitbox_to_event_stats）,,
10011,巨物鉴定,2,道具技能,100166,"[0,0,2,1]",[7000],,,,,,,,,
10012,巨物估价,2,道具技能,100167,"[0,0,2,1]",[5000],,,,,,,,,
10013,巨物抽样,2,道具技能,100168,"[0,0,2,1]",[6000],,,,,,,,,
10014,单格均价,2,道具技能,100169,[1],[8000],,,,,,,,,
10015,两格均价,2,道具技能,100170,[2],[8000],,,,,,,,,
10016,三格均价,2,道具技能,100171,[3],[8000],,,,,,,,,
10017,四格均价,2,道具技能,100172,[4],[8000],,,,,,,,,
10018,六格均价,2,道具技能,100173,[6],[8000],,,,,,,,,
100101,法蒂玛,0,其它/未归类,,"[1,106,3,1]","[1000,7000]",,,,,,,,,
100102,陈美,0,其它/未归类,,[105],"[1000,7000]",,,,,,,,,
100105,塔蒂安娜,0,其它/未归类,,[103],"[1000,7000]",,,,,,,,,
100106,娜奥米,0,其它/未归类,,"[103,107]",[4000],,,,,,,,,
100107,索菲,0,其它/未归类,,[0],[7000],,,,,,,,,
100108,玛丽亚,0,其它/未归类,,"[1,2,3]",[10000],,,,,,,,,
100109,海琳娜,0,其它/未归类,,[102],[7000],,,,,,,,,
100110,伊莎贝拉,0,其它/未归类,,"[0,0,1,1]",[7000],,,,,,,,,
100201,乔治,0,其它/未归类,,[104],"[1000,7000]",,,,,,,,,
100202,卡洛斯,0,其它/未归类,,"[101,107]",[1000],,,,,,,,,
100203,莱昂纳德,0,其它/未归类,,[109],[7000],,,,,,,,,
100204,艾哈迈德,0,其它/未归类,,[0],[4000],total_count<=HitItemIndex(int),total_count<=HitItemIndex[旁路],,,,,,,
100205,伊万,0,其它/未归类,,"[104,108]",[1000],,,,,,,,,
100206,武田宏志,0,其它/未归类,,[110],[4000],,,,,,,,,
100207,吴起灵,0,其它/未归类,,[106],[4000],,,,,,,,,
100209,维克托,0,其它/未归类,,"[4,5,6]",[4000],,,,,,,,,
100301,拉文,0,其它/未归类,,[0],[7000],,,,,,,,,
200001,竞拍信息,1,竞拍信息,,[4],"[1000,7000]",,,,,,,,,4
200002,竞拍信息,1,竞拍信息,,[5],"[1000,7000]",,,,,,,,,5
200003,竞拍信息,1,竞拍信息,,[6],"[1000,7000]",,,,,,,,,6
200004,竞拍信息,1,竞拍信息,,[0],[7000],,,,,,,,,
200005,竞拍信息,1,竞拍信息,,"[2,101,100,102,100,103,100,104,100,105,100,106,100,107,100,108,100,109,100,110,100]",[9000],,,,,,,,,
200006,竞拍信息,1,竞拍信息,,"[4,101,100,102,100,103,100,104,100,105,100,106,100,107,100,108,100,109,100,110,100]",[9000],,,,,,,,,
200007,竞拍信息,1,竞拍信息,,"[6,101,100,102,100,103,100,104,100,105,100,106,100,107,100,108,100,109,100,110,100]",[9000],,,,,,,,,
200008,竞拍信息,1,竞拍信息,,[0],[9000],,,,,,,,,
200009,竞拍信息,1,竞拍信息,,[0],[2000],total_grid_count<=TotalHitBoxIndex(int),total_grid_count<=TotalHitBoxIndex[主线],,,,,,,
200010,竞拍信息,1,竞拍信息,,[4],[2000],q4_grid_count<=TotalHitBoxIndex(int),q4_grid_count<=TotalHitBoxIndex[主线],,,,,,,
200011,竞拍信息,1,竞拍信息,,[5],[2000],q5_grid_count<=TotalHitBoxIndex(int),q5_grid_count<=TotalHitBoxIndex[主线],,,,,,,
200012,竞拍信息,1,竞拍信息,,[6],[2000],q6_grid_count<=TotalHitBoxIndex(int),q6_grid_count<=TotalHitBoxIndex[主线],,,,,,,
200013,竞拍信息,1,竞拍信息,,[4],[3000],q4_grid_avg<=AllHitItemAvgBoxIndex(float),q4_grid_avg<=AllHitItemAvgBoxIndex[主线],,,,,,,
200014,竞拍信息,1,竞拍信息,,[0],[3000],total_grid_avg<=AllHitItemAvgBoxIndex(float),total_grid_avg<=AllHitItemAvgBoxIndex[主线],,,,,,,
